_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4,cl_5
0.00257,0.000193,0.0012,0.00236,0.14616,2.6111,1146.5,8124.4,0,343.75,0
0.00257,0.000193,0.00625,0.0008,0.00040735,1.954,6279.8,1735.2,1282,14.558,0
0.00257,0.000193,0.00625,0.00236,0.039291,1.3716,6435.9,2744.5,0,52.78,0
0.00257,0.0006,0.0012,0.0008,0.048398,4.3383,572.96,5141.1,3974.4,107.85,0
0.00257,0.0006,0.0012,0.00236,0.069902,3.0836,956.74,7068.1,1237.4,328.89,0
0.00257,0.0006,0.00625,0.0008,-0.13733,3.2067,5879.5,0,3561.5,114.35,0
0.00257,0.0006,0.00625,0.00236,-0.04764,1.9606,6220.9,1730.7,1281.9,66.892,0
0.00257,0.000193,0.003725,0.0010285,0.029694,2.1796,4707.2,3583.7,1040.6,4.8209,0
0.00257,0.000193,0.003725,0.0021315,0.040034,1.8006,4793.8,4283.5,100.53,97.252,0
0.00257,0.0006,0.003725,0.0010285,-0.065105,3.2081,4379.8,1947.2,3135.7,66.553,0
0.00257,0.0006,0.003725,0.0021315,0.056316,2.3964,4649.7,3178.3,1512.4,103.78,0
0.00257,0.0003965,0.0013922,0.00158,0.12913,3.0732,1382.3,6605.6,1404.2,197.39,0
0.00257,0.0003965,0.0027587,0.00158,0.08712,2.5611,3657.4,4317.9,1398.6,98.877,0
0.00257,0.0003965,0.0046913,0.00158,0.046205,2.1594,5421.1,2567,1340.2,54.746,0
0.00257,0.0003965,0.0060578,0.00158,0.02541,1.9839,6190.4,1812,1294.3,47.618,0
0.00257,0.0003965,0.0019396,0.0008,0.078267,3.5209,2273.3,4388.6,2928.2,56.138,0
0.00257,0.0003965,0.0019396,0.00236,0.10205,2.5183,2553.2,6027.3,663.23,236.58,0
0.00257,0.0003965,0.0055104,0.0008,-0.047499,2.7412,5697,1048.7,2643.7,71.452,0
0.00257,0.0003965,0.0055104,0.00236,0.01981,1.7498,5968.2,2565.9,682.29,72.394,0
0.00257,0.0003965,0.0012,0.0010285,0.096191,3.5921,785.73,6371.6,2375.9,124.39,0
0.00257,0.0003965,0.0012,0.0021315,0.098272,2.9236,1001.1,7448,797.82,306.33,0
0.00257,0.0003965,0.00625,0.0010285,-0.059441,2.3753,6124.7,1111.5,2082.2,59.932,0
0.00257,0.0003965,0.00625,0.0021315,-0.012714,1.7343,6301.4,2091.4,818.96,56.458,0
0.00257,0.0003965,0.003725,0.00085937,-0.030116,2.9338,4471.1,2353.4,2615.2,47.955,0
0.00257,0.0003965,0.003725,0.0012815,-0.0004178,2.5165,4584.2,3003.9,1774.6,54.039,0
0.00257,0.0003965,0.003725,0.0018785,0.015563,2.1916,4668.2,3536.1,1070.8,87.122,0
0.00257,0.0003965,0.003725,0.0023006,0.019672,2.0468,4707.2,3777.1,740.25,114.13,0
