_il,_it,_el,_et,il:it,el:et,il:el,it:et,il:et,it:el,std
0.00257,0.000193,0.0055104,0.00158,13.316,3.4876,0.46639,0.12215,1.6266,0.035024,1.6285
0.00257,0.0006,0.0019396,0.00158,4.2833,1.2276,1.325,0.37975,1.6266,0.30935,3.1732
0.00257,0.0006,0.0055104,0.00158,4.2833,3.4876,0.46639,0.37975,1.6266,0.10888,2.4346
0.00257,0.000193,0.0012,0.0008,13.316,1.5,2.1417,0.24125,3.2125,0.16083,3.2977
0.00257,0.000193,0.0012,0.00236,13.316,0.50847,2.1417,0.08178,1.089,0.16083,2.6111
0.00257,0.000193,0.00625,0.0008,13.316,7.8125,0.4112,0.24125,3.2125,0.03088,1.954
0.00257,0.000193,0.00625,0.00236,13.316,2.6483,0.4112,0.08178,1.089,0.03088,1.3716
0.00257,0.0006,0.0012,0.0008,4.2833,1.5,2.1417,0.75,3.2125,0.5,4.3383
0.00257,0.0006,0.0012,0.00236,4.2833,0.50847,2.1417,0.25424,1.089,0.5,3.0836
0.00257,0.0006,0.00625,0.0008,4.2833,7.8125,0.4112,0.75,3.2125,0.096,3.2067
0.00257,0.0006,0.00625,0.00236,4.2833,2.6483,0.4112,0.25424,1.089,0.096,1.9606
0.00257,0.000193,0.003725,0.0010285,13.316,3.6219,0.68993,0.18766,2.4989,0.051812,2.1796
0.00257,0.000193,0.003725,0.0021315,13.316,1.7476,0.68993,0.090545,1.2057,0.051812,1.8006
0.00257,0.0006,0.003725,0.0010285,4.2833,3.6219,0.68993,0.5834,2.4989,0.16107,3.2081
0.00257,0.0006,0.003725,0.0021315,4.2833,1.7476,0.68993,0.28149,1.2057,0.16107,2.3964
0.00257,0.0003965,0.0013922,0.00158,6.4817,0.88114,1.846,0.25095,1.6266,0.2848,3.0732
0.00257,0.0003965,0.0027587,0.00158,6.4817,1.746,0.93159,0.25095,1.6266,0.14373,2.5611
0.00257,0.0003965,0.0046913,0.00158,6.4817,2.9692,0.54783,0.25095,1.6266,0.084519,2.1594
0.00257,0.0003965,0.0060578,0.00158,6.4817,3.834,0.42425,0.25095,1.6266,0.065453,1.9839
0.00257,0.0003965,0.0019396,0.0008,6.4817,2.4244,1.325,0.49562,3.2125,0.20443,3.5209
0.00257,0.0003965,0.0019396,0.00236,6.4817,0.82185,1.325,0.16801,1.089,0.20443,2.5183
0.00257,0.0003965,0.0055104,0.0008,6.4817,6.8881,0.46639,0.49562,3.2125,0.071954,2.7412
0.00257,0.0003965,0.0055104,0.00236,6.4817,2.3349,0.46639,0.16801,1.089,0.071954,1.7498
0.00257,0.0003965,0.0012,0.0010285,6.4817,1.1668,2.1417,0.38553,2.4989,0.33042,3.5921
0.00257,0.0003965,0.0012,0.0021315,6.4817,0.56297,2.1417,0.18602,1.2057,0.33042,2.9236
0.00257,0.0003965,0.00625,0.0010285,6.4817,6.0771,0.4112,0.38553,2.4989,0.06344,2.3753
0.00257,0.0003965,0.00625,0.0021315,6.4817,2.9321,0.4112,0.18602,1.2057,0.06344,1.7343
0.00257,0.0003965,0.003725,0.00085937,6.4817,4.3346,0.68993,0.46138,2.9905,0.10644,2.9338
0.00257,0.0003965,0.003725,0.0012815,6.4817,2.9067,0.68993,0.3094,2.0055,0.10644,2.5165
0.00257,0.0003965,0.003725,0.0018785,6.4817,1.983,0.68993,0.21107,1.3681,0.10644,2.1916
0.00257,0.0003965,0.003725,0.0023006,6.4817,1.6191,0.68993,0.17234,1.1171,0.10644,2.0468
