x,y,z
70673.296875,3817.060059,3414.520020
69130.703125,4098.430176,2852.919922
70082.398438,3025.239990,2575.439941
31290.000000,-14728.500000,5406.229980
31545.500000,-15746.599609,5098.000000
32402.400391,-16194.799805,6022.750000
30863.199219,-15939.599609,6231.140137
59596.699219,16747.199219,7182.979980
59423.300781,16082.099609,8413.450195
61042.300781,16583.199219,8410.160156
59888.398438,17667.300781,8440.700195
70670.898438,24951.599609,9429.889648
69761.796875,23904.300781,10343.400391
70400.601562,25391.599609,10706.700195
69419.601562,25086.199219,9323.389648
104933.000000,-14937.000000,-10435.799805
104675.000000,-16897.000000,-10269.200195
104497.000000,-15521.099609,-11268.799805
105452.000000,-16252.099609,-11150.299805
91844.703125,-24342.900391,-15621.799805
91308.296875,-23346.599609,-16601.800781
92358.601562,-22834.699219,-14901.599609
92915.203125,-23382.800781,-15912.299805
53564.500000,-40867.101562,35353.199219
54168.101562,-41938.898438,36387.800781
55190.800781,-41046.199219,35671.800781
53717.601562,-40074.000000,36626.199219
43694.398438,4272.129883,1858.589966
42537.699219,5149.319824,2632.020020
43627.300781,5386.109863,2335.300049
83759.898438,-11217.099609,-14352.700195
82900.898438,-11363.900391,-16168.299805
84156.500000,-11115.900391,-15631.400391
82601.601562,-12181.799805,-14741.900391
72860.296875,11599.700195,29300.900391
73181.500000,11521.099609,30904.500000
73831.000000,12390.799805,30160.500000
72636.203125,12981.599609,29615.300781
63907.601562,-27238.599609,40816.101562
64356.300781,-26164.699219,41442.398438
65587.601562,7426.640137,42210.601562
66874.703125,7264.439941,41519.898438
66076.601562,8592.639648,42227.199219
66978.703125,8052.640137,43123.500000
104438.000000,-15945.099609,1783.890015
105146.000000,-16418.599609,3036.530029
105819.000000,-15512.000000,2144.620117
104801.000000,-14891.000000,3072.169922
89277.101562,-331.026001,2582.459961
89294.796875,-1785.819946,3082.590088
88060.601562,-1144.209961,2126.229980
90119.296875,-1222.160034,1849.150024
112032.000000,-24341.599609,5104.209961
113157.000000,-24998.099609,5726.299805
112462.000000,-23656.099609,6153.830078
111578.000000,-24931.699219,6406.549805
63386.300781,16738.199219,24764.099609
64771.101562,16624.099609,24589.500000
64091.699219,16385.199219,26056.500000
64000.398438,15197.599609,25089.400391
65516.101562,-25513.000000,41781.300781
64040.101562,-24972.599609,41910.398438
64165.800781,-25918.900391,42986.300781
65515.898438,-25093.800781,43316.601562
98258.000000,-5907.259766,12863.099609
98360.296875,-5485.359863,14221.799805
97741.398438,-7039.640137,13441.000000
98449.898438,-6808.430176,14611.900391
57157.800781,-6656.330078,49347.300781
58507.800781,-7067.580078,48564.300781
58901.500000,-6825.720215,49918.000000
58086.000000,-8253.780273,49660.601562
107116.000000,-29381.000000,25466.000000
107916.000000,-29461.000000,26296.800781
106198.000000,-28716.500000,26363.199219
107116.000000,-30077.800781,27093.599609
79280.398438,-36314.199219,-15413.400391
79685.000000,-36034.300781,-16951.900391
80626.500000,-36368.101562,-15861.500000
80169.898438,-37396.601562,-16604.699219
95489.296875,-4884.109863,34098.800781
95593.296875,-5353.569824,35596.101562
96812.601562,-5099.979980,35029.199219
96324.398438,-3666.169922,34845.898438
43376.300781,16156.000000,12956.200195
44397.500000,14928.299805,12669.599609
42937.601562,14611.299805,12840.200195
43771.898438,14810.400391,11444.000000
104773.000000,-20582.699219,21360.199219
103080.000000,-20702.699219,21231.300781
103962.000000,-21179.599609,22283.400391
103895.000000,-19641.500000,21786.000000
62520.800781,-14600.200195,-11785.000000
61841.699219,-13191.599609,-11912.000000
61314.500000,-13894.500000,-10849.000000
62637.199219,-14165.299805,-10251.799805
57634.800781,-29933.400391,-7344.700195
56896.699219,-28426.199219,-8041.169922
58141.300781,-28795.599609,-6715.729980
58374.398438,-28828.099609,-8325.309570
78461.500000,14754.900391,14746.599609
79339.601562,14766.099609,16424.599609
79669.796875,15466.000000,15110.799805
78008.296875,15915.099609,15855.099609
77913.601562,-6040.160156,44814.500000
78468.500000,-6978.509766,43882.199219
76963.703125,-6239.220215,43981.898438
78225.101562,-5642.560059,43218.601562
51003.500000,-35487.699219,21932.900391
52223.601562,-36047.398438,21114.199219
52526.101562,-34497.800781,21731.099609
52523.101562,-35913.699219,22506.900391
70410.500000,-18494.000000,-9061.599609
70264.601562,-16978.099609,-8832.690430
71295.500000,-17574.500000,-9224.379883
54640.101562,18603.699219,22517.699219
55254.300781,18381.800781,21204.800781
53609.898438,18896.099609,21598.699219
54814.199219,19630.199219,21228.300781
116264.000000,-32466.900391,-4089.929932
115049.000000,-32167.099609,-3071.159912
116056.000000,-33647.000000,-3727.100098
116497.000000,-32641.199219,-2720.310059
89513.398438,-467.955994,4295.029785
90042.398438,-1765.089966,4398.140137
91198.296875,-1108.760010,4729.569824
89904.898438,-1100.780029,5762.060059
74865.796875,3118.080078,-8591.269531
74164.601562,1861.130005,-9506.969727
73594.796875,2756.929932,-8442.629883
74021.101562,3525.500000,-9991.929688
56728.101562,-29463.300781,48229.398438
55671.500000,-28823.599609,47394.398438
56805.398438,-27819.400391,47826.699219
57173.398438,-28773.900391,46883.800781
57999.101562,-44924.000000,24632.500000
59104.699219,-44546.500000,25097.900391
58993.500000,-44135.601562,23419.800781
58099.800781,-43360.800781,24753.500000
75581.898438,-35375.898438,40130.199219
75888.898438,-33428.300781,39956.101562
76673.203125,-34704.601562,40694.300781
76690.203125,-34691.800781,39211.500000
99128.203125,-16512.300781,24232.400391
98330.500000,-16722.099609,22479.400391
97867.898438,-17557.300781,23513.500000
97702.898438,-16042.200195,23114.099609
85632.796875,-669.556030,8446.299805
85708.500000,196.033997,10010.200195
86549.703125,-843.583984,9232.459961
85987.101562,1088.089966,9043.740234
85039.203125,3568.879883,8615.700195
86161.796875,2671.270020,7743.779785
86103.703125,4137.259766,7658.200195
86390.703125,3683.610107,8856.490234
43460.898438,4098.979980,35714.898438
42375.000000,5040.529785,35566.000000
60300.500000,-22709.900391,42356.898438
58975.500000,-23096.099609,41800.000000
71160.601562,14878.000000,19648.599609
71916.398438,14819.599609,21035.900391
72410.398438,14533.599609,19657.900391
71651.101562,16082.299805,20363.500000
107911.000000,-11999.799805,6724.850098
106717.000000,-11559.799805,6239.310059
107531.000000,-10321.200195,5550.290039
108110.000000,-11615.099609,5072.200195
76617.500000,-14254.000000,-11497.900391
75904.398438,-15601.599609,-10438.299805
76242.203125,-14246.200195,-10197.000000
75274.703125,-15117.599609,-11787.099609
50003.000000,17738.000000,20570.099609
49560.398438,17129.300781,19159.000000
48615.000000,16543.400391,19871.199219
48574.500000,18048.500000,19822.300781
64175.000000,6210.020020,43870.398438
63615.601562,6565.290039,45481.601562
63540.699219,5395.729980,44722.199219
65328.300781,6188.479980,44623.699219
53495.500000,-19059.199219,-5978.720215
55005.000000,-19225.699219,-5230.620117
54814.699219,-18453.000000,-6283.299805
53989.000000,-18015.300781,-5213.640137
51003.199219,-31547.000000,40912.699219
50319.300781,-29827.699219,41054.500000
49511.000000,-31431.400391,41184.000000
50159.101562,-30501.800781,42121.000000
82741.398438,7354.669922,20922.800781
81792.296875,8620.709961,21863.199219
82005.703125,6852.109863,21909.099609
82461.000000,7911.759766,22637.800781
103579.000000,-39426.398438,12376.900391
104865.000000,-39916.101562,12466.200195
103254.000000,-40594.601562,11973.799805
104388.000000,-40409.101562,10756.000000
71278.898438,23300.400391,9512.509766
70117.296875,22140.800781,9578.040039
69578.296875,23509.699219,8942.820312
70737.601562,23189.300781,8156.129883
67995.703125,-17693.000000,-9893.919922
67429.000000,-19493.000000,-9637.440430
68495.500000,-18895.099609,-10181.099609
68002.398438,-18455.300781,-8371.360352
73083.500000,14799.099609,38173.199219
74494.500000,14471.799805,37487.300781
73630.398438,16091.700195,38368.000000
74869.703125,15037.900391,38708.800781
79706.601562,-27049.500000,43452.500000
78159.296875,-26806.800781,43312.601562
79138.203125,-28280.199219,43170.699219
78023.296875,-27946.500000,43981.398438
103371.000000,-42452.699219,-17740.699219
102422.000000,-43242.500000,-18082.500000
104137.000000,-43536.000000,-19110.599609
103521.000000,-44123.800781,-17534.300781
45937.699219,-3616.610107,-6243.200195
44958.800781,-4111.319824,-7249.109863
44583.898438,-3849.290039,-5767.069824
44019.199219,-3051.870117,-6797.060059
73516.898438,6787.609863,3447.520020
74325.703125,6142.689941,4477.819824
74586.601562,7885.819824,3603.270020
74644.500000,7497.810059,5027.569824
95982.601562,-34036.500000,23688.699219
97530.601562,-33897.101562,24275.500000
96461.500000,-35589.101562,24463.300781
96244.101562,-34880.199219,23004.599609
47810.300781,-10365.799805,39782.699219
47809.300781,-8986.570312,38532.699219
46184.000000,-9784.610352,39430.500000
47475.699219,-8975.059570,39829.601562
64953.800781,11672.200195,40880.601562
65854.500000,11054.900391,41664.300781
66226.500000,11129.099609,40213.398438
66396.796875,12521.400391,40622.500000
104493.000000,-14183.700195,6811.549805
105510.000000,-14570.099609,5930.220215
105671.000000,-14957.299805,7877.549805
104767.000000,-15818.599609,7201.410156
48193.898438,-34299.398438,40307.000000
49223.699219,-33409.000000,39661.300781
49516.000000,-34934.199219,39888.000000
48123.300781,-34039.398438,38657.500000
59400.300781,-31774.599609,41169.000000
60824.898438,-31308.000000,42099.199219
59945.699219,-30352.099609,41865.800781
59463.398438,-32240.900391,42397.000000
71408.796875,14960.200195,3204.800049
70763.101562,14965.200195,2098.659912
71942.500000,14559.599609,1407.880005
71134.500000,13565.500000,2448.500000
76173.500000,-9199.990234,-11957.000000
77868.500000,-9291.469727,-12422.000000
76303.296875,-8959.589844,-13223.400391
77079.601562,-8061.490234,-12605.400391
85600.101562,-3266.229980,-9178.610352
84808.398438,-3691.669922,-10154.799805
85141.796875,-4701.799805,-9259.110352
84286.703125,-3945.699951,-8227.379883
59251.898438,3912.959961,-3278.840088
60387.699219,3251.229980,-4122.990234
59762.101562,4265.669922,-4677.790039
60215.800781,4974.640137,-3171.270020
80621.203125,-13137.400391,46075.898438
80175.000000,-13070.099609,47534.898438
80856.296875,-11927.400391,47106.699219
79360.398438,-12402.400391,46235.398438
88731.203125,11088.599609,2712.379883
88764.703125,10395.700195,4438.640137
89591.000000,11102.799805,3622.320068
88649.398438,11861.400391,4118.950195
32244.800781,-15118.700195,26322.699219
33460.398438,-15659.299805,26964.599609
33145.199219,-14971.299805,25441.400391
33539.898438,-14145.099609,26422.900391
90763.296875,-17533.300781,-6722.540039
89549.500000,-17939.400391,-7710.979980
90946.296875,-18533.800781,-7477.509766
92418.203125,-9011.780273,39653.898438
68699.703125,20986.599609,9861.950195
69736.203125,20574.800781,8987.429688
68484.601562,19436.199219,9654.980469
68266.898438,20419.300781,8507.950195
63221.800781,-35038.101562,-6653.640137
62498.699219,-34640.500000,-5386.689941
62325.101562,-33781.101562,-6651.040039
61341.000000,-35036.699219,-6356.600098
78977.898438,2592.639893,30872.900391
79865.398438,4024.649902,31273.699219
79808.203125,1805.300049,31505.099609
80101.796875,2429.780029,30317.000000
71832.203125,3289.469971,-7591.979980
70808.796875,4547.799805,-8253.650391
71444.796875,3482.479980,-9241.799805
70777.796875,2498.600098,-8276.519531
59111.601562,3312.729980,42268.300781
60360.101562,3982.639893,42131.000000
59408.898438,4764.020020,43000.101562
60306.800781,3238.989990,43440.000000
80199.398438,11718.200195,989.922974
81559.898438,11383.799805,1667.199951
81154.398438,12823.200195,1605.890015
80121.296875,12330.500000,2457.129883
79517.296875,5504.140137,45334.898438
79662.703125,4838.720215,43872.199219
80782.296875,4300.459961,45395.398438
79429.000000,3703.409912,44907.398438
88343.500000,-51532.800781,1551.599976
88773.296875,-51185.000000,-316.269989
89251.796875,-52357.800781,459.252014
87686.203125,-52238.601562,161.477997
102403.000000,-8932.759766,19085.900391
103666.000000,-7998.459961,19183.699219
103866.000000,-8876.620117,18173.099609
102716.000000,-8133.339844,17988.000000
52418.398438,23856.300781,22270.300781
