CC,L2orm,t1,t2,t3,p1,p2,p3,z1,z2,z3,thr1,thr2,thr3,cv
-0.094916015,371.239571714,19.3,13.1,3.56,0.7,0.95,0.95,0.29,0.89,0.57,3.78,7.21,5.41,2.92
-0.2525148307,226.630408678,8.56,19.53,2.22,0.97,0.31,0.49,0.45,0.91,0.34,9.07,5.14,4.91,2.01
-0.1237458354,140.758124629,19.7,14.52,9.44,0.61,0.7,0.78,0.83,0.76,0.3,9.51,4.26,7.98,3.65
-0.0714784616,195.696491069,4.45,12.19,12.96,0.43,0.17,0.77,0.82,0.85,0.66,2.89,9.49,2.59,2.39
-0.2830232578,177.653413053,2.78,7.65,4.27,0.21,0.55,0.9,0.78,0.83,0.59,1.51,5.79,7.44,3.49
0.349818753,163.995423227,4.65,6.08,16.98,0.04,0.77,0.26,0.47,0.49,0.76,8.53,6.29,9.81,3.02
0.087049084,205.722290892,5.6,12.31,0.14,0.03,0.58,0.01,0.93,0.32,0.42,1.73,6.61,5.76,2.45
0.2052458694,233.796416437,11.43,16.91,10.69,0.76,0.31,0.73,0.25,0.36,0.85,8.86,8.95,1.26,2.04
-0.0337055464,222.872300499,13.93,15.73,14.56,0.96,0.48,0.43,0.45,0.25,0.4,2.09,2.71,2.3,3.34
-0.1722487296,262.220602641,19.67,7.34,11.98,0.24,0.41,0.4,0.55,0.91,0.96,8.4,3.38,9.49,1.84
0.1780092103,188.633473271,4.19,3.23,5.15,0.34,0.94,0.32,0.68,0.31,0.4,6.94,7.06,1.46,2.59
0.2031371131,163.994485185,13.17,15.99,3.5,0.24,0.27,0.61,0.32,0.65,0.62,4.65,8.18,2.03,2.56
0.0592057192,196.433607893,5.65,3.38,2.4,0.25,0.46,0.75,0.33,0.76,0.41,9.95,3.3,5.01,1.58
-0.0977450542,168.174467638,14.25,11.83,12.84,0.8,0.03,0.84,0.64,0.75,0.33,9.82,7.62,3.47,3
-0.2665334582,244.023880885,0.17,18.51,4.56,0.31,0.57,0.49,0.23,0.61,0.22,7.72,9.06,4.59,3.91
