x,y,z
-25.204,-23.072,247.62
-24.825,-24.425,248.52
-24.447,-25.777,249.41
-23.534,-24.838,250.45
-24.88,-24.582,251.4
-23.968,-23.643,252.43
-25.793,-25.522,250.37
-26.017,-20.525,248.71
-26.55,-22.816,248.57
-26.171,-24.169,249.47
-23.435,-21.352,252.57
-19.93,-24.411,249.58
-19.875,-24.254,246.69
-20.688,-21.706,247.78
-22.512,-23.584,245.71
-22.133,-24.937,246.61
-21.755,-26.289,247.51
-20.842,-25.35,248.54
-22.188,-25.094,249.49
-21.276,-24.155,250.53
-23.101,-26.033,248.46
-23.325,-21.037,246.8
-23.858,-23.328,246.67
-23.479,-24.681,247.56
-20.743,-21.864,250.66
-17.238,-24.923,247.67
-18.529,-24.51,245.74
-17.617,-23.57,246.77
-17.996,-22.218,245.87
-18.908,-23.157,244.84
-19.82,-24.096,243.81
-19.441,-25.449,244.7
-19.063,-26.801,245.6
-18.15,-25.862,246.64
-19.496,-25.606,247.59
-18.584,-24.667,248.62
-20.409,-26.545,246.56
-20.633,-21.549,244.9
-21.166,-23.84,244.76
-20.787,-25.193,245.66
-18.05,-22.375,248.76
-25.962,-20.367,245.82
-25.907,-20.21,242.94
-26.719,-17.662,244.03
-28.544,-19.54,241.96
-28.165,-20.893,242.86
-27.786,-22.245,243.76
-26.874,-21.306,244.79
-28.22,-21.05,245.74
-27.308,-20.111,246.78
-29.132,-21.99,244.71
-29.356,-16.993,243.05
-29.89,-19.284,242.91
-29.511,-20.637,243.81
-23.27,-20.879,243.92
-23.215,-20.722,241.03
-24.027,-18.174,242.12
-25.852,-20.052,240.05
-25.473,-21.405,240.95
-25.094,-22.757,241.85
-24.182,-21.818,242.88
-25.528,-21.562,243.84
-24.616,-20.623,244.87
-26.44,-22.501,242.8
-26.664,-17.505,241.14
-27.198,-19.796,241.01
-26.819,-21.149,241.91
-24.082,-18.332,245.01
-27.363,-20.269,249.66
-28.275,-21.208,248.63
-26.45,-19.33,250.69
-24.137,-18.489,247.89
-25.583,-21.72,246.72
-26.929,-21.464,247.67
-24.192,-18.647,250.77
-21.445,-19.001,245.98
-22.891,-22.232,244.82
-24.237,-21.976,245.77
-21.5,-19.159,248.87
-24.895,-15.784,246.09
-27.532,-15.115,245.12
-24.949,-15.942,248.98
-21.39,-18.843,243.1
-22.202,-16.296,244.19
-24.84,-15.627,243.21
-22.257,-16.454,247.07
-20.578,-21.391,242.01
-20.523,-21.233,239.13
-21.335,-18.686,240.22
-23.16,-20.564,238.15
-22.781,-21.917,239.05
-22.402,-23.269,239.94
-21.49,-22.33,240.98
-22.836,-22.074,241.93
-21.924,-21.135,242.96
-23.748,-23.013,240.9
-23.972,-18.017,239.24
-24.506,-20.308,239.1
-24.127,-21.661,240
-17.886,-21.903,240.11
-19.177,-21.489,238.17
-18.264,-20.55,239.21
-18.643,-19.198,238.31
-19.555,-20.137,237.28
