P1,P2,P3,P4,PCC,RSME,AE,3mVAE,1mVAE
27.5,7,11,12,0.84864,1.4499,8.1186,5.9136,18.876
27.5,7,11,13,0.84972,1.443,8.0984,5.7889,18.919
27.5,7,11,14,0.85244,1.1752,7.5375,4.8995,12.658
27.5,7,11,15,0.85245,1.0737,7.2572,4.4655,11.632
27.5,7,11,16,0.85181,1.027,7.0888,4.1659,11.35
27.5,7,12,13,0.84931,1.444,8.0872,5.7804,19.13
27.5,7,12,14,0.85276,1.1334,7.4294,4.7137,12.196
27.5,7,12,15,0.85242,1.0595,7.2105,4.3803,11.542
27.5,7,12,16,0.85185,1.0299,7.1005,4.1875,11.358
27.5,7,12,17,0.85134,1.0149,7.0345,4.0505,11.283
27.5,7,13,14,0.85163,1.0221,7.0675,4.1236,11.309
27.5,7,13,15,0.85163,1.0221,7.0675,4.1236,11.309
27.5,7,13,16,0.85163,1.0221,7.0675,4.1236,11.309
27.5,7,13,17,0.85163,1.0221,7.0675,4.1236,11.309
27.5,7,13,18,0.85163,1.0221,7.0675,4.1236,11.309
27.5,7.25,9,10,0.83974,1.4932,8.3135,6.1657,18.539
27.5,7.25,9,11,0.84404,1.4797,8.256,5.981,18.806
27.5,7.25,9,12,0.84688,1.4694,8.2089,5.8845,18.967
27.5,7.25,9,13,0.84812,1.4638,8.1695,5.817,19.148
27.5,7.25,9,14,0.85038,1.2083,7.6168,5.0962,13.055
27.5,7.25,10,11,0.84387,1.4853,8.218,6.1284,19.121
27.5,7.25,10,12,0.84635,1.4746,8.1827,5.9949,19.259
27.5,7.25,10,13,0.8475,1.468,8.1533,5.9068,19.411
27.5,7.25,10,14,0.85039,1.1995,7.5868,5.093,12.909
27.5,7.25,10,15,0.85104,1.0769,7.2466,4.5547,11.537
27.5,7.25,11,12,0.84589,1.4777,8.1609,6.0794,19.577
27.5,7.25,11,13,0.84687,1.4711,8.1388,5.9647,19.677
27.5,7.25,11,14,0.85059,1.1785,7.529,5.006,12.615
27.5,7.25,11,15,0.8511,1.0703,7.2239,4.5195,11.493
27.5,7.25,11,16,0.85069,1.0225,7.0411,4.1918,11.132
27.5,7.25,12,13,0.84619,1.4733,8.1261,5.9913,20.016
27.5,7.25,12,14,0.8511,1.1294,7.3994,4.778,12.053
27.5,7.25,12,15,0.85113,1.0512,7.1575,4.3853,11.337
27.5,7.25,12,16,0.85068,1.0214,7.0361,4.1793,11.13
27.5,7.25,12,17,0.85022,1.0069,6.9631,4.0522,11.157
27.5,7.25,13,14,0.85035,1.01,6.9799,4.0892,11.143
27.5,7.25,13,15,0.85035,1.01,6.9799,4.0892,11.143
27.5,7.25,13,16,0.85035,1.01,6.9799,4.0892,11.143
27.5,7.25,13,17,0.85035,1.01,6.9799,4.0892,11.143
