_il,_it,_el,_et,median,meanPt,stdPt,min,max, tsneDist
0.00257,0.0005404,0.0012,0.00158,-0.92696,0.047782,3.4051,-9.4236,15.248,15.248,7.2811
0.00257,0.0005404,0.00625,0.00158,-0.793,0.010901,2.2466,-1.6086,8.8253,8.8253,5.7372
0.00257,0.0002526,0.003725,0.0008,-0.74292,0.07345,2.5633,-4.5944,11.1,11.1,2.8131
0.00257,0.0002526,0.003725,0.00236,-0.33862,0.10445,1.8361,-6.8578,8.7666,8.7666,7.3937
0.00257,0.0005404,0.003725,0.0008,-1.2598,-0.011146,3.3988,-1.3748,12.949,12.949,8.4759
0.00257,0.0005404,0.003725,0.00236,-0.62357,0.051334,2.2244,-5.1963,9.814,9.814,2.3642
0.00257,0.000193,0.0019396,0.00158,-0.41834,0.13381,2.4743,-10.139,11.991,11.991,4.9102
0.00257,0.000193,0.0055104,0.00158,-0.37777,0.055558,1.6285,-5.0787,7.615,7.615,8.6247
0.00257,0.0006,0.0019396,0.00158,-0.91265,0.068519,3.1732,-6.9369,13.862,13.862,6.337
0.00257,0.0006,0.0055104,0.00158,-0.88083,-0.011184,2.4346,-1.827,9.5582,9.5582,5.7123
0.00257,0.000193,0.0012,0.0008,-0.66303,0.16567,3.2977,-11.439,15.662,15.662,7.1658
0.00257,0.000193,0.0012,0.00236,-0.35047,0.14616,2.6111,-11.98,12.559,12.559,5.6444
0.00257,0.000193,0.00625,0.0008,-0.64233,0.00040735,1.954,-2.8975,8.2222,8.2222,6.3319
0.00257,0.000193,0.00625,0.00236,-0.29559,0.039291,1.3716,-5.0216,6.5266,6.5266,10.16
0.00257,0.0006,0.0012,0.0008,-1.3892,0.048398,4.3383,-6.7743,18.202,18.202,9.3015
0.00257,0.0006,0.0012,0.00236,-0.7498,0.069902,3.0836,-9.6601,13.944,13.944,6.3121
0.00257,0.0006,0.00625,0.0008,-1.3453,-0.13733,3.2067,-2.4537,12.452,12.452,8.7483
0.00257,0.0006,0.00625,0.00236,-0.71365,-0.04764,1.9606,-2.6255,8.0148,8.0148,6.9246
0.00257,0.000193,0.003725,0.0010285,-0.57349,0.029694,2.1796,-6.2472,10.033,10.033,3.2988
0.00257,0.000193,0.003725,0.0021315,-0.36915,0.040034,1.8006,-7.2859,8.6557,8.6557,7.8704
0.00257,0.0006,0.003725,0.0010285,-1.2215,-0.065105,3.2081,-2.1048,12.421,12.421,7.7874
0.00257,0.0006,0.003725,0.0021315,-0.70661,0.056316,2.3964,-4.6297,10.331,10.331,1.5278
0.00257,0.0003965,0.0013922,0.00158,-0.69198,0.12913,3.0732,-9.7999,14.183,14.183,6.1389
0.00257,0.0003965,0.0027587,0.00158,-0.66121,0.08712,2.5611,-6.6522,11.546,11.546,1.4062
0.00257,0.0003965,0.0046913,0.00158,-0.64292,0.046205,2.1594,-4.0253,9.3201,9.3201,3.8958
0.00257,0.0003965,0.0060578,0.00158,-0.638,0.02541,1.9839,-2.818,8.2866,8.2866,6.4564
0.00257,0.0003965,0.0019396,0.0008,-1.0533,0.078267,3.5209,-6.3283,15.135,15.135,7.7952
0.00257,0.0003965,0.0019396,0.00236,-0.52853,0.10205,2.5183,-8.8753,11.74,11.74,4.0832
0.00257,0.0003965,0.0055104,0.0008,-1.0606,-0.047499,2.7412,-1.1671,10.416,10.416,6.8302
0.00257,0.0003965,0.0055104,0.00236,-0.50412,0.01981,1.7498,-4.2501,7.7785,7.7785,7.7542
0.00257,0.0003965,0.0012,0.0010285,-0.94773,0.096191,3.5921,-9.5061,16.198,16.198,7.9498
0.00257,0.0003965,0.0012,0.0021315,-0.61107,0.098272,2.9236,-10.706,13.638,13.638,5.9369
0.00257,0.0003965,0.00625,0.0010285,-0.92524,-0.059441,2.3753,-1.2266,9.0745,9.0745,6.3756
0.00257,0.0003965,0.00625,0.0021315,-0.55836,-0.012714,1.7343,-3.5105,7.4969,7.4969,8.1461
0.00257,0.0003965,0.003725,0.00085937,-1.0467,-0.030116,2.9338,-3.1429,11.84,11.84,6.3488
0.00257,0.0003965,0.003725,0.0012815,-0.80817,-0.0004178,2.5165,-4.6098,10.77,10.77,2.573
0.00257,0.0003965,0.003725,0.0018785,-0.62976,0.015563,2.1916,-5.6233,9.7957,9.7957,2.8224
0.00257,0.0003965,0.003725,0.0023006,-0.55333,0.019672,2.0468,-5.9958,9.2889,9.2889,4.6808
