_il,_it,_el,_et,meanPt,stdPt,PCA_2,PCA_1,fBD_2,fBD_12,fBD_22,fBD_32,fBD_42,fBD_52,fBD_62
0.00257,0.0002526,0.0012,0.00158,0.10178,2.9335,-0.15347,0.095708,0.33553,0.8182,0.91197,0.96555,0.97318,0.9898,0.99284
0.00257,0.0002526,0.00625,0.00158,-0.015952,1.6623,-0.0060653,0.056069,0.2772,0.86669,0.93307,0.9788,0.9959,0.99696,0.9988
0.00257,0.0005404,0.0012,0.00158,0.047782,3.4051,-0.059299,0.11449,0.28834,0.80821,0.90139,0.94064,0.97264,0.97729,0.99122
0.00257,0.0005404,0.00625,0.00158,0.010901,2.2466,0.088438,0.07441,0.39623,0.93751,0.98581,0.99326,0.99679,0.99813,0.99977
0.00257,0.0002526,0.003725,0.0008,0.07345,2.5633,0.028837,0.086355,0.47366,0.99849,0.99991,0.99995,0.99996,0.99996,0.99997
0.00257,0.0002526,0.003725,0.00236,0.10445,1.8361,-0.082078,0.060472,0.20831,0.68556,0.81635,0.90854,0.94849,0.97874,0.98778
0.00257,0.0005404,0.003725,0.0008,-0.011146,3.3988,0.16098,0.11159,0.17466,0.58134,0.7005,0.80973,0.90311,0.9604,0.93847
0.00257,0.0005404,0.003725,0.00236,0.051334,2.2244,-0.010362,0.075053,0.49219,0.99989,0.99997,0.99997,0.99997,0.99997,0.99997
0.00257,0.000193,0.0019396,0.00158,0.13381,2.4743,-0.13591,0.080438,0.2626,0.78837,0.94181,0.96874,0.9794,0.99546,0.99643
0.00257,0.000193,0.0055104,0.00158,0.055558,1.6285,-0.040021,0.054519,0.23707,0.71225,0.84893,0.94062,0.96211,0.97417,0.98425
0.00257,0.0006,0.0019396,0.00158,0.068519,3.1732,-0.0020999,0.10709,0.33007,0.92588,0.9949,0.99954,0.99997,0.99997,0.99997
0.00257,0.0006,0.0055104,0.00158,-0.011184,2.4346,0.094243,0.080686,0.38804,0.9638,0.99353,0.99867,0.99977,0.99997,0.99997
0.00257,0.000193,0.0012,0.0008,0.16567,3.2977,-0.11571,0.10958,0.32207,0.85738,0.94686,0.9739,0.98216,0.98927,0.99124
0.00257,0.000193,0.0012,0.00236,0.14616,2.6111,-0.19633,0.081827,0.18258,0.52677,0.62035,0.64949,0.67334,0.70447,0.71709
0.00257,0.000193,0.00625,0.0008,0.00040735,1.954,0.038944,0.065613,0.42363,0.94507,0.98774,0.99603,0.99845,0.99936,0.99981
0.00257,0.000193,0.00625,0.00236,0.039291,1.3716,-0.055089,0.045368,0.10506,0.37054,0.47425,0.52487,0.60799,0.64238,0.66229
0.00257,0.0006,0.0012,0.0008,0.048398,4.3383,0.074177,0.14591,0.06661,0.27369,0.367,0.40891,0.45529,0.46368,0.49459
0.00257,0.0006,0.0012,0.00236,0.069902,3.0836,-0.09484,0.10276,0.26555,0.85303,0.93996,0.97463,0.98309,0.98875,0.99048
0.00257,0.0006,0.00625,0.0008,-0.13733,3.2067,0.22899,0.10137,0.091748,0.31273,0.39501,0.43562,0.46111,0.50438,0.51701
0.00257,0.0006,0.00625,0.00236,-0.04764,1.9606,0.047038,0.065716,0.37529,0.95816,0.99532,0.99895,0.99967,0.99969,0.99995
0.00257,0.000193,0.003725,0.0010285,0.029694,2.1796,-0.037067,0.073242,0.44877,0.97976,0.99874,0.99965,0.99979,0.99984,0.99988
0.00257,0.000193,0.003725,0.0021315,0.040034,1.8006,-0.093843,0.05876,0.2575,0.76207,0.91614,0.97408,0.98523,0.99233,0.99548
0.00257,0.0006,0.003725,0.0010285,-0.065105,3.2081,0.13311,0.10603,0.16996,0.65557,0.77322,0.91479,0.92593,0.96204,0.99432
0.00257,0.0006,0.003725,0.0021315,0.056316,2.3964,0.015693,0.080838,0.45442,0.99828,0.99997,0.99997,0.99997,0.99997,0.99997
0.00257,0.0003965,0.0013922,0.00158,0.12913,3.0732,-0.090905,0.10262,0.36729,0.94164,0.99177,0.99867,0.99958,0.99997,0.99997
0.00257,0.0003965,0.0027587,0.00158,0.08712,2.5611,-0.0292,0.086305,0.51206,0.99701,0.99997,0.99997,0.99997,0.99997,0.99997
0.00257,0.0003965,0.0046913,0.00158,0.046205,2.1594,0.020081,0.072802,0.48656,0.99108,0.99997,0.99997,0.99997,0.99997,0.99997
0.00257,0.0003965,0.0060578,0.00158,0.02541,1.9839,0.042116,0.066592,0.36403,0.94981,0.99158,0.99674,0.99954,0.99983,0.99994
0.00257,0.0003965,0.0019396,0.0008,0.078267,3.5209,0.038939,0.11865,0.25128,0.80035,0.93671,0.97678,0.99133,0.99579,0.99868
0.00257,0.0003965,0.0019396,0.00236,0.10205,2.5183,-0.10278,0.083244,0.31915,0.91797,0.97196,0.99563,0.99953,0.99995,0.99993
0.00257,0.0003965,0.0055104,0.0008,-0.047499,2.7412,0.13943,0.089607,0.26956,0.80805,0.92587,0.97178,0.98578,0.99468,0.99765
0.00257,0.0003965,0.0055104,0.00236,0.01981,1.7498,-0.010396,0.05903,0.33692,0.89644,0.97841,0.99818,0.99966,0.99947,0.99997
0.00257,0.0003965,0.0012,0.0010285,0.096191,3.5921,-0.045313,0.121,0.27731,0.81303,0.92762,0.9652,0.98365,0.99377,0.99748
0.00257,0.0003965,0.0012,0.0021315,0.098272,2.9236,-0.13323,0.096105,0.3053,0.83975,0.92967,0.97032,0.98531,0.99577,0.99769
0.00257,0.0003965,0.00625,0.0010285,-0.059441,2.3753,0.1072,0.078193,0.34602,0.90088,0.98264,0.99098,0.99411,0.99893,0.99995
0.00257,0.0003965,0.00625,0.0021315,-0.012714,1.7343,0.0099912,0.058508,0.38896,0.9286,0.98766,0.99649,0.99969,0.99985,0.9999
0.00257,0.0003965,0.003725,0.00085937,-0.030116,2.9338,0.090369,0.097887,0.27904,0.89663,0.98732,0.99677,0.99993,0.99997,0.99997
0.00257,0.0003965,0.003725,0.0012815,-0.0004178,2.5165,0.027025,0.084811,0.44015,0.99356,0.99996,0.99997,0.99997,0.99997,0.99997
0.00257,0.0003965,0.003725,0.0018785,0.015563,2.1916,-0.021302,0.073883,0.46825,0.99974,0.99997,0.99997,0.99997,0.99997,0.99997
0.00257,0.0003965,0.003725,0.0023006,0.019672,2.0468,-0.041943,0.068732,0.41213,0.97656,0.99822,0.99997,0.99997,0.99997,0.99997
